Drg,10,20,30,40,50,60,70,80,90
Drg0,0.67,0.687,0.78,0.762,0.824,0.795,0.809,0.829,0.858
Drg2,0.562,0.588,0.592,0.61,0.592,0.6,0.574,0.622,0.609
Drg3,0.408,0.442,0.487,0.466,0.474,0.49,0.532,0.54,0.584
Drg50,0.684,0.681,0.68,0.693,0.67,0.676,0.663,0.669,0.662
Drg52,0.707,0.727,0.714,0.73,0.725,0.719,0.714,0.738,0.716
Drg66,0.811,0.698,0.673,0.671,0.706,0.75,0.63,0.584,0.55
Drg67,0.808,0.809,0.812,0.793,0.77,0.802,0.76,0.768,0.758
Drg68,0.716,0.762,0.72,0.678,0.619,0.652,0.661,0.624,0.624
Drg69,0.711,0.704,0.686,0.638,0.619,0.64,0.603,0.577,0.596
Drg84,0.623,0.62,0.624,0.614,0.614,0.606,0.604,0.592,0.611
Drg96,0.668,0.659,0.675,0.686,0.681,0.672,0.672,0.694,0.681
Drg97,0.714,0.714,0.701,0.693,0.721,0.699,0.709,0.699,0.706
Drg178,0.71,0.682,0.724,0.658,0.683,0.683,0.689,0.673,0.638
Drg179,0.86,0.845,0.817,0.808,0.838,0.831,0.794,0.811,0.793
Drg256,0.718,0.708,0.716,0.725,0.718,0.714,0.729,0.72,0.709
Drg259,0.849,0.847,0.846,0.851,0.845,0.848,0.839,0.846,0.831
Drg261,0.7,0.686,0.709,0.695,0.676,0.702,0.697,0.694,0.689
Drg262,0.665,0.66,0.658,0.674,0.658,0.689,0.647,0.666,0.664
Drg263,0.723,0.719,0.717,0.721,0.711,0.716,0.719,0.714,0.703
Drg309,0.721,0.703,0.748,0.692,0.743,0.713,0.756,0.757,0.719
