Drg,0.1,0.2,1.0
Drg0,0.666,0.599,0.739
Drg2,0.617,0.587,0.66
Drg3,0.53,0.586,0.649
Drg50,0.576,0.638,0.649
Drg52,0.536,0.614,0.649
Drg66,0.615,0.727,0.711
Drg67,0.598,0.641,0.711
Drg68,0.627,0.675,0.711
Drg69,0.718,0.625,0.711
Drg84,0.609,0.614,0.711
Drg96,0.531,0.647,0.629
Drg97,0.612,0.62,0.629
Drg178,0.542,0.53,0.554
Drg179,0.49,0.579,0.554
Drg256,0.599,0.672,0.66
Drg259,0.634,0.623,0.695
Drg261,0.608,0.634,0.732
Drg262,0.597,0.691,0.732
Drg263,0.622,0.608,0.732
Drg309,0.656,0.659,0.713
