Drg,1,5,10,20,100
Drg0,0.921,0.921,0.921,0.921,0.921
Drg2,0.737,0.737,0.737,0.737,0.737
Drg3,0.864,0.864,0.864,0.864,0.864
Drg50,0.775,0.775,0.775,0.775,0.775
Drg52,0.779,0.779,0.779,0.779,0.779
Drg66,0.926,0.926,0.926,0.926,0.926
Drg67,0.803,0.803,0.803,0.803,0.803
Drg68,0.814,0.814,0.814,0.814,0.814
Drg69,0.871,0.871,0.871,0.871,0.871
Drg84,0.582,0.582,0.582,0.582,0.582
Drg96,0.672,0.672,0.672,0.672,0.672
Drg97,0.764,0.764,0.764,0.764,0.764
Drg178,0.746,0.746,0.746,0.746,0.746
Drg179,0.861,0.861,0.861,0.861,0.861
Drg256,0.642,0.642,0.642,0.642,0.642
Drg259,0.863,0.863,0.863,0.863,0.863
Drg261,0.686,0.686,0.686,0.686,0.686
Drg262,0.646,0.646,0.646,0.646,0.646
Drg263,0.723,0.723,0.723,0.723,0.723
Drg309,0.732,0.732,0.732,0.732,0.732
