Drg,1,5,10,20,100
Drg0,0.973,0.973,0.973,0.973,0.973
Drg2,0.628,0.628,0.628,0.628,0.628
Drg3,0.784,0.784,0.784,0.784,0.784
Drg50,0.695,0.695,0.695,0.695,0.695
Drg52,0.691,0.691,0.691,0.691,0.691
Drg66,0.852,0.852,0.852,0.852,0.852
Drg67,0.86,0.86,0.86,0.86,0.86
Drg68,0.842,0.842,0.842,0.842,0.842
Drg69,0.801,0.801,0.801,0.801,0.801
Drg84,0.652,0.652,0.652,0.652,0.652
Drg96,0.705,0.705,0.705,0.705,0.705
Drg97,0.791,0.791,0.791,0.791,0.791
Drg178,0.644,0.644,0.644,0.644,0.644
Drg179,0.786,0.786,0.786,0.786,0.786
Drg256,0.837,0.837,0.837,0.837,0.837
Drg259,0.846,0.846,0.846,0.846,0.846
Drg261,0.727,0.727,0.727,0.727,0.727
Drg262,0.734,0.734,0.734,0.734,0.734
Drg263,0.773,0.773,0.773,0.773,0.773
Drg309,0.616,0.616,0.616,0.616,0.616
