Drg,1,5,10,20,100
Drg0,0.908,0.908,0.908,0.908,0.908
Drg2,0.618,0.618,0.618,0.618,0.618
Drg3,0.817,0.817,0.817,0.817,0.817
Drg50,0.658,0.658,0.658,0.658,0.658
Drg52,0.741,0.741,0.741,0.741,0.741
Drg66,0.894,0.894,0.894,0.894,0.894
Drg67,0.877,0.877,0.877,0.877,0.877
Drg68,0.913,0.913,0.913,0.913,0.913
Drg69,0.84,0.84,0.84,0.84,0.84
Drg84,0.687,0.687,0.687,0.687,0.687
Drg96,0.774,0.774,0.774,0.774,0.774
Drg97,0.786,0.786,0.786,0.786,0.786
Drg178,0.734,0.734,0.734,0.734,0.734
Drg179,0.823,0.823,0.823,0.823,0.823
Drg256,0.656,0.656,0.656,0.656,0.656
Drg259,0.884,0.884,0.884,0.884,0.884
Drg261,0.718,0.718,0.718,0.718,0.718
Drg262,0.683,0.683,0.683,0.683,0.683
Drg263,0.749,0.749,0.749,0.749,0.749
Drg309,0.786,0.786,0.786,0.786,0.786
