Drg,1,5,10,20,100
Drg0,0.911,0.911,0.911,0.911,0.911
Drg2,0.75,0.75,0.75,0.75,0.75
Drg3,0.685,0.685,0.685,0.685,0.685
Drg50,0.601,0.601,0.601,0.601,0.601
Drg52,0.634,0.634,0.634,0.634,0.634
Drg66,0.877,0.877,0.877,0.877,0.877
Drg67,0.785,0.785,0.785,0.785,0.785
Drg68,0.893,0.893,0.893,0.893,0.893
Drg69,0.808,0.808,0.808,0.808,0.808
Drg84,0.608,0.608,0.608,0.608,0.608
Drg96,0.76,0.76,0.76,0.76,0.76
Drg97,0.761,0.761,0.761,0.761,0.761
Drg178,0.746,0.746,0.746,0.746,0.746
Drg179,0.825,0.825,0.825,0.825,0.825
Drg256,0.758,0.758,0.758,0.758,0.758
Drg259,0.829,0.829,0.829,0.829,0.829
Drg261,0.726,0.726,0.726,0.726,0.726
Drg262,0.578,0.578,0.578,0.578,0.578
Drg263,0.753,0.753,0.753,0.753,0.753
Drg309,0.648,0.648,0.648,0.648,0.648
