Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.7262672811059909,0.874384236453202,0.9298245614035088,0.8514705882352941,0.816468253968254,0.8396829842332499
Drg2,0.6123249299719888,0.56,0.6936026936026936,0.7101648351648351,0.4940711462450593,0.6140327209969154
Drg3,0.6637426900584795,0.7134502923976609,0.5952380952380952,0.49702380952380953,0.4064272211720227,0.5751764216780136
Drg50,0.6721698113207547,0.6262773722627738,0.7332170880557978,0.5574952561669829,0.7434691745036572,0.6665257404619933
Drg52,0.7087053571428571,0.7863046044864226,0.7373737373737373,0.668956043956044,0.6644385026737968,0.7131556491265717
Drg66,0.8347578347578348,0.8075,0.8571428571428572,0.863970588235294,0.8164251207729468,0.8359592801817864
Drg67,0.891996891996892,0.7576323987538942,0.887017543859649,0.8145161290322581,0.7813852813852813,0.826509649005595
Drg68,0.8706896551724138,0.6887524240465417,0.5962709284627092,0.6044515103338632,0.621141975308642,0.676261298664834
Drg69,0.7275280898876405,0.7419753086419753,0.8161094224924011,0.734920634920635,0.6470588235294118,0.7335184558944128
Drg84,0.6598968407479044,0.687192118226601,0.6023573200992556,0.6046741277156024,0.6565359477124183,0.6421312709003563
Drg96,0.5912220309810672,0.7827586206896552,0.6265320836337419,0.5887096774193549,0.6551724137931034,0.6488789653033844
Drg97,0.7135416666666666,0.7516283108988276,0.6766098484848484,0.6095059412132583,0.7025641025641026,0.6907699739655407
Drg178,0.6326530612244898,0.7414141414141414,0.6907327586206896,0.7026515151515151,0.8319148936170213,0.7198732740055714
Drg179,0.7957559681697614,0.87646835922698,0.8697788697788698,0.8387741505662891,0.8654117647058824,0.8492378224895566
Drg256,0.8532608695652173,0.5616835994194486,0.6522875816993464,0.7876923076923077,0.7013888888888888,0.7112626494530419
Drg259,0.8499089253187614,0.8458706467661692,0.7977076608919044,0.8138255033557047,0.9105880868248359,0.8435801646314751
Drg261,0.6953125,0.5848089468779124,0.7084048027444253,0.7863247863247863,0.6538461538461539,0.6857394379586556
Drg262,0.696546052631579,0.48124098124098125,0.6809954751131222,0.7761492338441038,0.6529933481152993,0.657585018189017
Drg263,0.8077471765405191,0.6607744107744109,0.6811790225851729,0.7512898060843266,0.7403376150960554,0.728265606216097
Drg309,0.614247311827957,0.8520408163265305,0.724,0.7090909090909091,0.7089783281733746,0.7216714730837543
