Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.27557603686635945,0.35344827586206895,0.2149122807017544,0.2676470588235294,0.35317460317460314,0.292951651085663
Drg2,0.6106442577030812,0.620722891566265,0.6806156806156806,0.6497252747252747,0.5827216261998871,0.6288859461620377
Drg3,0.43859649122807015,0.4269005847953216,0.33809523809523806,0.26190476190476186,0.35727788279773154,0.3645549917642247
Drg50,0.5707547169811321,0.5943691345151199,0.6896251089799477,0.5244781783681214,0.6285266457680251,0.6015507569224693
Drg52,0.6662946428571429,0.6367571822117276,0.7390572390572391,0.5233516483516484,0.6704545454545454,0.6471830515864607
Drg66,0.47578347578347585,0.2675,0.29591836734693877,0.5974264705882353,0.5169082125603865,0.43070730525580725
Drg67,0.4630924630924631,0.3710280373831776,0.5491228070175438,0.47456575682382135,0.5275974025974026,0.47708129338288163
Drg68,0.3616941529235382,0.29379444085326445,0.4269406392694064,0.25882352941176473,0.3040123456790123,0.3290530216273972
Drg69,0.4431960049937578,0.3654320987654321,0.4033434650455927,0.4115079365079365,0.48952457695406926,0.4226008164533576
Drg84,0.6021921341070278,0.610016420361248,0.5437344913151365,0.6069782751810401,0.5875816993464053,0.5901006040621716
Drg96,0.6342512908777969,0.6281609195402299,0.6380677721701513,0.5510752688172043,0.6293103448275863,0.6161731192465938
Drg97,0.589447463768116,0.5707772470690403,0.5568181818181818,0.5339587242026266,0.496551724137931,0.549510668199179
Drg178,0.33290816326530615,0.37373737373737376,0.35129310344827586,0.2859848484848485,0.3872340425531915,0.3462315062977991
Drg179,0.5411140583554377,0.4748010610079576,0.29975429975429974,0.4030646235842771,0.579294117647059,0.45960563206980626
Drg256,0.6168478260869565,0.4862119013062409,0.550326797385621,0.5230769230769232,0.7152777777777778,0.5783482451267039
Drg259,0.7771706132361871,0.7931840796019901,0.7288057440221329,0.7361073825503355,0.8226274608783443,0.771579056057798
Drg261,0.5472470238095238,0.47949673811742777,0.6054888507718698,0.5833333333333334,0.4778357235984355,0.538680333926118
Drg262,0.5764802631578948,0.5454545454545455,0.6681749622926094,0.5463024650233178,0.7372505543237251,0.6147325580504186
Drg263,0.644303546661383,0.6028138528138528,0.6398621921653694,0.654967341855796,0.5878424462885075,0.6259578759569818
Drg309,0.4610215053763441,0.6173469387755102,0.5840000000000001,0.6324675324675325,0.5650154798761611,0.5719702912991096
