Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.29493087557603687,0.42487684729064035,0.15789473684210528,0.3816176470588235,0.3055555555555556,0.3129751324646323
Drg2,0.5159663865546218,0.5397590361445783,0.5978835978835979,0.4812271062271063,0.43986448334274425,0.5149401220305296
Drg3,0.564327485380117,0.42105263157894735,0.49047619047619045,0.386904761904762,0.3686200378071834,0.44627622142944007
Drg50,0.639937106918239,0.5660062565172055,0.564516129032258,0.4905123339658445,0.6883490073145245,0.5898641667496143
Drg52,0.7109375,0.6025186934277844,0.7449494949494949,0.5631868131868132,0.6497326203208555,0.6542650243769895
Drg66,0.5484330484330484,0.39249999999999996,0.44387755102040816,0.5689338235294117,0.4589371980676329,0.4825363242101002
Drg67,0.5491452991452992,0.5020249221183801,0.6785964912280702,0.5607940446650125,0.4721320346320346,0.5525385583577593
Drg68,0.48463268365817097,0.4744667097608274,0.5195966514459666,0.4554848966613672,0.3404706790123456,0.45493032410773554
Drg69,0.5861423220973783,0.4067901234567901,0.534498480243161,0.501984126984127,0.49677679290894433,0.5052383691380802
Drg84,0.5029013539651838,0.5015051997810619,0.49860421836228286,0.5610599078341013,0.4911764705882353,0.511049430106173
Drg96,0.5851979345955249,0.593103448275862,0.4808940158615717,0.674731182795699,0.7270114942528736,0.6121876151563063
Drg97,0.6082427536231884,0.5315892314372558,0.5798611111111112,0.5234521575984991,0.6045977011494253,0.569548590983896
Drg178,0.43112244897959184,0.3878787878787879,0.3642241379310345,0.3484848484848485,0.41063829787234035,0.3884697042293206
Drg179,0.2696728558797525,0.24744221295945434,0.328009828009828,0.34243837441705527,0.3510588235294118,0.30772441895910035
Drg256,0.5543478260869565,0.5399129172714079,0.4183006535947713,0.6415384615384616,0.578125,0.5464449716983195
Drg259,0.5171827565270188,0.43442786069651745,0.5070153481325341,0.4935570469798658,0.4885159010600706,0.48813978267920144
Drg261,0.5576636904761905,0.5824790307548928,0.6197827329902802,0.6623931623931624,0.5488917861799217,0.5942420805588895
Drg262,0.587171052631579,0.5497835497835497,0.5444947209653093,0.6575616255829447,0.7372505543237251,0.6152523006574215
Drg263,0.574598771547454,0.6055315055315055,0.5703968355237974,0.6168704094340101,0.5547061498238035,0.5844207343721142
Drg309,0.39381720430107525,0.6147959183673469,0.446,0.5948051948051948,0.5356037151702786,0.5170044065287791
