Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.6986175115207374,0.7672413793103448,0.7521929824561404,0.8183823529411764,0.5952380952380952,0.7263344642932988
Drg2,0.5529411764705883,0.5479518072289156,0.695045695045695,0.657051282051282,0.4201016374929418,0.5746183196578845
Drg3,0.6228070175438597,0.7076023391812866,0.6261904761904762,0.45535714285714285,0.4725897920604915,0.5769093535666514
Drg50,0.6933962264150944,0.5939520333680917,0.751743679163034,0.582732447817837,0.7369383490073145,0.6717525471542742
Drg52,0.7087053571428571,0.8000787091696182,0.7962962962962963,0.7513736263736264,0.7299465240641712,0.7572801026093139
Drg66,0.8575498575498577,0.8775,0.9693877551020409,0.8878676470588236,0.855072463768116,0.8894755446957676
Drg67,0.83993783993784,0.7685358255451713,0.8031578947368422,0.7866004962779155,0.8766233766233766,0.8149710866242291
Drg68,0.7432533733133434,0.861344537815126,0.7606544901065448,0.8620031796502385,0.8761574074074073,0.8206825976585319
Drg69,0.7209737827715357,0.8395061728395061,0.8525835866261398,0.7611111111111112,0.8110394842868655,0.7970428275270316
Drg84,0.5557704706640877,0.7649151614668855,0.5676178660049628,0.5928242264647794,0.6950980392156862,0.6352451527632803
Drg96,0.6256454388984509,0.8367816091954022,0.6409516943042538,0.7428315412186379,0.846264367816092,0.7384949302865674
Drg97,0.7909873188405797,0.8041684759009987,0.7209595959595959,0.7409631019387116,0.750132625994695,0.7614422237269162
Drg178,0.715561224489796,0.6787878787878788,0.7025862068965517,0.7518939393939394,0.7191489361702127,0.7135956371476757
Drg179,0.7453580901856763,0.8791208791208792,0.8660933660933661,0.9100599600266488,0.7887058823529411,0.8378676355559023
Drg256,0.7853260869565217,0.7503628447024674,0.5947712418300654,0.7738461538461539,0.6614583333333333,0.7131529321337083
Drg259,0.8421979356405587,0.8923880597014926,0.840063236940913,0.856711409395973,0.88610550227158,0.8634932287901034
Drg261,0.7347470238095238,0.6752096924510718,0.7347055460263008,0.8041310541310541,0.7099087353324642,0.731740410350083
Drg262,0.7014802631578948,0.5165945165945166,0.7413273001508296,0.6768820786142571,0.7261640798226164,0.6724896476680229
Drg263,0.773449574004359,0.6715728715728717,0.7148398621921654,0.7526876254860599,0.7424690235307492,0.7310037913572411
Drg309,0.6827956989247311,0.8061224489795918,0.712,0.6662337662337663,0.8343653250773992,0.7403034478430978
