Drg,0.1
Drg0,0.64
Drg2,0.583
Drg3,0.497
Drg50,0.618
Drg52,0.61
Drg66,0.479
Drg67,0.616
Drg68,0.545
Drg69,0.501
Drg84,0.591
Drg96,0.627
Drg97,0.602
Drg178,0.554
Drg179,0.612
Drg256,0.585
Drg259,0.784
Drg261,0.579
Drg262,0.541
Drg263,0.579
Drg309,0.587
