Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.7004608294930875,0.9100985221674878,0.9451754385964912,0.8404411764705882,0.9077380952380952,0.8607828123931499
Drg2,0.6168067226890755,0.5359036144578313,0.7335257335257335,0.7197802197802198,0.5121400338791644,0.6236312648664049
Drg3,0.5964912280701755,0.760233918128655,0.6666666666666666,0.5297619047619048,0.4574669187145558,0.6021241272683915
Drg50,0.6032494758909853,0.6145985401459854,0.6922406277244987,0.5935483870967743,0.7215256008359457,0.6450325263388379
Drg52,0.67578125,0.7733175914994097,0.7996632996632996,0.6696428571428571,0.6811497326203209,0.7199109461851775
Drg66,0.5641025641025641,0.375,0.9005102040816326,0.6930147058823529,0.6231884057971014,0.6311631759727303
Drg67,0.7424242424242424,0.7495327102803737,0.716140350877193,0.7019230769230769,0.6737012987012987,0.7167443358412369
Drg68,0.8017241379310345,0.6457659987071752,0.4505327245053272,0.6190779014308425,0.7388117283950617,0.6511824981938883
Drg69,0.7749687890137328,0.44320987654320987,0.49878419452887546,0.6464285714285715,0.6663980660757454,0.605957899518027
Drg84,0.5963894261766602,0.6185002736726875,0.5465260545905708,0.6181698485845951,0.6016339869281045,0.5962439179905237
Drg96,0.67039586919105,0.8362068965517242,0.6445565969718817,0.7688172043010753,0.7600574712643678,0.7360068076560198
Drg97,0.7176177536231885,0.7367564046895354,0.708175505050505,0.6791744840525328,0.7158267020335987,0.711510169889872
Drg178,0.39030612244897955,0.6707070707070707,0.625,0.4962121212121212,0.597872340425532,0.5560195309587407
Drg179,0.6887709991158267,0.7002652519893899,0.6953316953316954,0.7061958694203865,0.7087058823529412,0.6998539396420479
Drg256,0.8070652173913044,0.4658925979680697,0.6666666666666667,0.8046153846153846,0.7239583333333333,0.6936396399949517
Drg259,0.8415907710989676,0.8525373134328358,0.7755747315723602,0.7965771812080537,0.8934881373043918,0.8319536269233219
Drg261,0.7261904761904763,0.5852749301025163,0.703830760434534,0.8076923076923076,0.6127770534550196,0.6871531055749708
Drg262,0.740953947368421,0.5707070707070707,0.6794871794871794,0.7954696868754164,0.6951219512195123,0.6963479671315199
Drg263,0.7299583911234397,0.6651034151034151,0.6719152737016715,0.7554832642895266,0.6514720927588951,0.6947864873953895
Drg309,0.6155913978494624,0.8163265306122449,0.726,0.6779220779220779,0.7414860681114551,0.7154652148990481
