,Liver and Gall,Blood,Lung,Heart,Digestive Tract,Kidney,Cancer,Systemic Infection,UNREL PDX
Liver and Gall,0.36635805677166405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood,0.0,0.5105856805009891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung,0.0,0.0,0.4992053121972191,0.0,0.0,0.0,0.0,0.0,0.0
Heart,0.0,0.0,0.0,0.6957241058972794,0.0,0.0,0.0,0.0,0.0
Digestive Tract,0.0,0.0,0.0,0.0,0.5849233551464106,0.0,0.0,0.0,0.0
Kidney,0.0,0.0,0.0,0.0,0.0,0.3891593814260659,0.0,0.0,0.0
Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.5414836199204808,0.0,0.0
Systemic Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804567250840783,0.0
UNREL PDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553772864974515
