,Liver and Gall,Blood,Lung,Heart,Digestive Tract,Kidney,Cancer,Systemic Infection,UNREL PDX
Liver and Gall,0.3930802512015924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood,0.0,0.5038228312626959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung,0.0,0.0,0.5069684977577728,0.0,0.0,0.0,0.0,0.0,0.0
Heart,0.0,0.0,0.0,0.691823003876729,0.0,0.0,0.0,0.0,0.0
Digestive Tract,0.0,0.0,0.0,0.0,0.6112122206140153,0.0,0.0,0.0,0.0
Kidney,0.0,0.0,0.0,0.0,0.0,0.45832621982400135,0.0,0.0,0.0
Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.5658360017916899,0.0,0.0
Systemic Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074100138906711,0.0
UNREL PDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34942475944697643
