,Liver and Gall,Blood,Lung,Heart,Digestive Tract,Kidney,Cancer,Systemic Infection,UNREL PDX
Liver and Gall,0.35728950342629334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood,0.0,0.4946563152916686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung,0.0,0.0,0.49378005161534644,0.0,0.0,0.0,0.0,0.0,0.0
Heart,0.0,0.0,0.0,0.6869753670568431,0.0,0.0,0.0,0.0,0.0
Digestive Tract,0.0,0.0,0.0,0.0,0.5883450304006829,0.0,0.0,0.0,0.0
Kidney,0.0,0.0,0.0,0.0,0.0,0.4146802169559888,0.0,0.0,0.0
Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.5581203674604542,0.0,0.0
Systemic Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876175390323525,0.0
UNREL PDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509931255521974
