,Liver and Gall,Blood,Lung,Heart,Digestive Tract,Kidney,Cancer,Systemic Infection,UNREL PDX
Liver and Gall,0.5195066876950104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blood,0.0,0.5697497616453935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung,0.0,0.0,0.6091283194273558,0.0,0.0,0.0,0.0,0.0,0.0
Heart,0.0,0.0,0.0,0.7032261385553606,0.0,0.0,0.0,0.0,0.0
Digestive Tract,0.0,0.0,0.0,0.0,0.6000803152260553,0.0,0.0,0.0,0.0
Kidney,0.0,0.0,0.0,0.0,0.0,0.4010192255635045,0.0,0.0,0.0
Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.5403224667124383,0.0,0.0
Systemic Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5995869611864622,0.0
UNREL PDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36663809924392954
