Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.7253456221198157,0.6995073891625616,0.5723684210526316,0.6639705882352941,0.45932539682539686,0.6241034834791399
Drg2,0.5736694677871148,0.527710843373494,0.6738816738816739,0.565018315018315,0.5431959345002823,0.576695246912176
Drg3,0.5789473684210527,0.3801169590643275,0.44999999999999996,0.4464285714285714,0.40831758034026466,0.45276209585084326
Drg50,0.7078092243186582,0.6556830031282587,0.7781168265039232,0.5582542694497155,0.7622779519331243,0.692428255066736
Drg52,0.72265625,0.755608028335301,0.7314814814814815,0.6833791208791209,0.7393048128342247,0.7264859387060256
Drg66,0.886039886039886,0.81,0.7806122448979591,0.854779411764706,0.855072463768116,0.8373008012941334
Drg67,0.8791763791763793,0.7317757009345794,0.8652631578947368,0.8383995037220844,0.823051948051948,0.8275333379559455
Drg68,0.8343328335832084,0.7727860374919199,0.7233637747336377,0.8111287758346581,0.5374228395061729,0.7358068522299195
Drg69,0.7194132334581773,0.8288065843621399,0.8738601823708206,0.7738095238095238,0.7848509266720387,0.7961480901345401
Drg84,0.6312056737588653,0.7266009852216748,0.5992555831265509,0.5816326530612245,0.6787581699346406,0.6434906130205912
Drg96,0.6247848537005164,0.7563218390804598,0.6445565969718817,0.6451612903225807,0.7112068965517241,0.6764062953254326
Drg97,0.7348278985507246,0.799934867564047,0.6982323232323232,0.7229518449030645,0.6608311229000884,0.7233556114300496
Drg178,0.6556122448979591,0.705050505050505,0.6702586206896551,0.6893939393939393,0.7553191489361701,0.6951268917936458
Drg179,0.7895667550839964,0.8832891246684349,0.8624078624078624,0.8427714856762158,0.8437647058823529,0.8443599867437724
Drg256,0.8152173913043479,0.8185776487663281,0.5712418300653594,0.74,0.6423611111111112,0.7174795962494293
Drg259,0.8430479659987857,0.8625870646766169,0.8245833607799222,0.8369127516778524,0.8845911155981828,0.8503444517462719
Drg261,0.6852678571428571,0.6416589002795899,0.7793024585477416,0.7998575498575499,0.6571056062581486,0.7126384744171774
Drg262,0.6488486842105263,0.46681096681096684,0.6825037707390649,0.7441705529646901,0.6263858093126387,0.6337439568075773
Drg263,0.7929661184862296,0.6705387205387205,0.7098124282250861,0.75139146567718,0.7457656019097421,0.7340948669673917
Drg309,0.6545698924731184,0.7933673469387755,0.648,0.7220779220779221,0.7492260061919505,0.7134482335363532
