Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.8497695852534561,0.8423645320197045,0.8486842105263158,0.8360294117647058,0.7986111111111112,0.8350917701350588
Drg2,0.6106442577030812,0.5831325301204819,0.7008177008177008,0.7124542124542125,0.4850367024280068,0.6184170807046966
Drg3,0.801169590643275,0.8830409356725146,0.6928571428571428,0.7291666666666666,0.6843100189035917,0.7581088709486381
Drg50,0.6776729559748428,0.5868613138686132,0.7696163905841324,0.5751423149905124,0.6760710553814002,0.6570728061599003
Drg52,0.6981026785714285,0.8508461235733963,0.7803030303030303,0.7087912087912088,0.7459893048128342,0.7568064692103796
Drg66,0.7378917378917379,0.6125,0.8367346938775511,0.8143382352941176,0.6908212560386473,0.7384571846204108
Drg67,0.7937062937062938,0.7174454828660436,0.7498245614035088,0.7220843672456576,0.7786796536796536,0.7523480717802314
Drg68,0.6319340329835081,0.8044602456367163,0.6590563165905633,0.7977742448330684,0.7557870370370371,0.7298023754161787
Drg69,0.6582397003745318,0.7127572016460906,0.8091185410334346,0.7400793650793651,0.7618855761482675,0.736416076856338
Drg84,0.5206318504190844,0.6614668856048166,0.6237593052109182,0.5934825543120473,0.634640522875817,0.6067962236845367
Drg96,0.6376936316695353,0.8632183908045976,0.6524873828406633,0.6998207885304659,0.7729885057471264,0.7252417399184777
Drg97,0.8290307971014492,0.7559704732957013,0.6745580808080808,0.7494684177611006,0.7748894783377541,0.7567834494608172
Drg178,0.649234693877551,0.6141414141414141,0.7068965517241379,0.6420454545454546,0.6723404255319149,0.6569317079640944
Drg179,0.6569407603890363,0.7529367184539598,0.5995085995085995,0.6708860759493671,0.672470588235294,0.6705485485072513
Drg256,0.8070652173913044,0.7387518142235123,0.7176470588235294,0.8646153846153847,0.7552083333333333,0.7766575616774128
Drg259,0.8312082574377656,0.8722885572139304,0.8248468480337263,0.8390604026845637,0.8796693589096416,0.8494146848559255
Drg261,0.7369791666666666,0.614165890027959,0.707833047455689,0.7856125356125356,0.6994784876140809,0.7088138254753863
Drg262,0.7713815789473685,0.4985569985569986,0.638763197586727,0.6715522984676882,0.6685144124168515,0.6497536971951268
Drg263,0.7283138498117694,0.6975228475228474,0.7252264897282124,0.7374132716598469,0.7291121973400024,0.7235177312125356
Drg309,0.6733870967741935,0.8456632653061225,0.8220000000000001,0.7506493506493507,0.8142414860681114,0.7811882397595556
