Drg,10,20,30,40,50,60,70,80,90
Drg0,0.605,0.622,0.589,0.596,0.611,0.636,0.646,0.648,0.626
Drg2,0.534,0.552,0.558,0.559,0.563,0.569,0.57,0.568,0.571
Drg3,0.409,0.393,0.381,0.387,0.402,0.401,0.424,0.432,0.446
Drg50,0.623,0.62,0.622,0.637,0.615,0.614,0.609,0.626,0.654
Drg52,0.602,0.662,0.692,0.695,0.706,0.706,0.681,0.724,0.692
Drg66,0.442,0.544,0.561,0.561,0.598,0.678,0.575,0.612,0.627
Drg67,0.583,0.648,0.669,0.673,0.743,0.747,0.716,0.754,0.757
Drg68,0.504,0.52,0.522,0.545,0.506,0.585,0.637,0.628,0.641
Drg69,0.475,0.531,0.54,0.542,0.589,0.603,0.599,0.638,0.677
Drg84,0.593,0.588,0.598,0.615,0.63,0.626,0.62,0.63,0.631
Drg96,0.67,0.599,0.625,0.655,0.627,0.643,0.644,0.67,0.676
Drg97,0.556,0.65,0.661,0.657,0.618,0.643,0.669,0.696,0.674
Drg178,0.653,0.654,0.629,0.647,0.708,0.671,0.704,0.733,0.699
Drg179,0.612,0.716,0.68,0.733,0.736,0.725,0.75,0.732,0.785
Drg256,0.625,0.655,0.726,0.645,0.696,0.682,0.694,0.695,0.72
Drg259,0.69,0.763,0.779,0.752,0.823,0.808,0.809,0.818,0.826
Drg261,0.61,0.651,0.664,0.679,0.678,0.677,0.7,0.678,0.689
Drg262,0.525,0.601,0.559,0.663,0.68,0.627,0.67,0.685,0.666
Drg263,0.608,0.662,0.672,0.652,0.675,0.679,0.667,0.686,0.687
Drg309,0.659,0.656,0.677,0.642,0.697,0.68,0.693,0.687,0.711
